user_id,given_name,last_name,mobile,email,password,is_verified
fd5f2ad39b544a4fac7e3bafb16e8419,Trevor,Hastie,NULL,trevor.hastie@gmail.com,trever@hastie,TRUE
1c4dbb4171534f919c8ca297b50d6fc7,Robert,Tibshirani,NULL,robert.tibshirani@gmail.com,robert@123,TRUE
df656481c26345f08709009a91274592,Jerome,Friedman,NULL,jerome.friedman@gmail.com,jerome@123,FALSE
9ea679c345194a30b71f16e69ae6e35b,William,Pepper,3479695526,william.pepper@gmail.com,william@pepper,TRUE
93aaba7953174510a4c223c053730f1c,Lewis,Carroll,3479695312,lewiscar@gmail.com,lewisdom,FALSE
2bf9531d1c40409eacee6992d19e9e74,James,Clear,9475634571,jamesclear@gmail.com,habitmaster123,TRUE
b055f86d28d4454b9953aa3a0cfc9bdf,Walter,Isaacson,3479695538,walterwhile@yahoo.com,methmaster3299,TRUE
95dbafaebbb845769e71dd0f89e799f6,Sam,Walton,3564781923,walmartdude@yahoo.com,walmartrocksssss,TRUE
7c0358a324cb47a8b415d81839631823,John,Huey,8726346573,johnhuey@hotmail.com,hueyjogn@123,FALSE
83bafda8e36e458a8c1537b6a37bf284,Marcus,Aurelius,8329482734,emperorsupreme@gmail.com,MarcAur@yahoo.com,FALSE
39e383834d8c41469fd924f6dcd728e6,James,Harris,3459287634,jameshar@yahoo.com,harrisj1231,TRUE
3d6445f74c5246ff81946e7b6129ea3b,William,Shakespeare,9283928191,billshakess@gmail.com,Tempest1827,FALSE
d95772f75dae40149ede53c028a557ed,Mikkel,Svane,8273645837,mikkel@gmail.com,mikdesk124,TRUE
9c4b2f19a5e447f7a2a3d1dc8eab374a,Carlye,Adler,8374625172,carad@yahoo.com,carad451,TRUE
f0d3072a19604f19bc8c4b38f7a83769,Eric,Ries,9287345612,eries@gmail.com,eries1976,TRUE
4c9ca6fd33cd47b887965d07a46512cd,Brad,Stone,9283746582,brads@gmail.com,bdstone@3412,TRUE
278948e95de349b5903b7354ab902c7b,H.G.,Wells,8273645829,hgwells@yahoo.com,hgw@398,FALSE
d8b2be5f480e44b086462d8d8bb95e57,Laurence,Abbott,8276514253,lfabbott@columbia.edu,lfab987,TRUE
2ea7ab99eff64416b8303e93d56bf2d8,Peter,Dayan,9387263546,petd@mit.edu,ppetd9898,FALSE
7392d1094a8f4db386b9368695a6c84b,Harper,Lee,7263545265,harplee@gmail.com,hlee@2211,TRUE
